HH_ID,Sensitivity,Adaptation capacity,Subsistence,Demography,Culture,Health,Learning,Assets,Flexibility,Agency,Organization
AMP25,0.557723129,0.396363831,0.1640925,0.052209829,0.1131928,0.228228,0.0857035,0.043855954,0.0025375,0.132903571,0.131363306
AMP2,0.468528667,0.385023337,0.088638,0.039540267,0.1881984,0.152152,0.096231667,0.035392408,0.039444833,0.111471429,0.102483
AMP94,0.5464772,0.367597948,0.084648667,0.019770133,0.0891344,0.352924,0.079946694,0.029245782,0.025930833,0.11475,0.117724639
AMP1,0.4035976,0.36607779,0.088638,0.0128896,0.049532,0.252538,0.0270595,0.034496873,0.020029333,0.157675,0.126817083
AMP77,0.477457167,0.424089807,0.129061167,0.053352,0.066816,0.228228,0.062754208,0.057977912,0.027028,0.151785714,0.124543972
AMP53,0.309481767,0.412957098,0.107556167,0.0429096,0.08294,0.076076,0.077807375,0.038604862,0.067579667,0.099875,0.129090194
AMP96,0.535545233,0.387239365,0.135581233,0.0429096,0.2049024,0.152152,0.065139889,0.038357694,0.009879333,0.162957143,0.110905306
AMP76,0.422065567,0.345816219,0.114076233,0.089538133,0.2184512,0,0.094338708,0.041801959,0.034713,0.107342857,0.067619694
AMPAS133,0.603888633,0.458281948,0.125071833,0.038912,0.2116768,0.228228,0.089074625,0.11029389,0.013514,0.123128571,0.122270861
AMPAS126,0.567735533,0.456473212,0.102164333,0.0661808,0.1225424,0.276848,0.094092347,0.082774397,0.029908667,0.103092857,0.146604944
AMPAS72,0.584494533,0.473244246,0.112673733,0,0.1949728,0.276848,0.096231667,0.079828003,0.029908667,0.138185714,0.129090194
AMPAS131,0.568766133,0.5216859,0.11968,0.032659733,0.1881984,0.228228,0.080932139,0.139028011,0.027028,0.1547,0.11999775
AMPAS54,0.502778733,0.459789931,0.102164333,0.0368752,0.1355112,0.228228,0.085210778,0.103960363,0.0160515,0.132296429,0.122270861
AMPAS36,0.556631467,0.434115992,0.123669333,0.032659733,0.1720744,0.228228,0.06991125,0.078596873,0.0160515,0.142739286,0.126817083
AMPAS125,0.4911147,0.445487252,0.0969595,0.0762128,0.0897144,0.228228,0.074303014,0.098217091,0.034307,0.116389286,0.122270861
AMPAS33,0.7513346,0.449666151,0.141185,0.0257792,0.1553704,0.429,0.072543292,0.073872419,0.0295655,0.146867857,0.126817083
AMPAS59,0.439631833,0.5202128,0.125071833,0.0164768,0.0698552,0.228228,0.153447778,0.086407907,0.0160515,0.104732143,0.159573472
AMPAS124,0.344531333,0.515277765,0.112673733,0.0128896,0.066816,0.152152,0.116662042,0.090990374,0.017491833,0.143528571,0.146604944
AMPAS74,0.3703518,0.402102528,0.102164333,0.033095467,0.08294,0.152152,0.083071458,0.052393971,0.033543333,0.104003571,0.129090194
AMPAS69,0.354210533,0.41917805,0.112673733,0.0064448,0.08294,0.152152,0.077807375,0.068748147,0.047057333,0.096475,0.129090194
AMPAS128,0.585688,0.546131313,0.11968,0.0328776,0.2049024,0.228228,0.073282375,0.146920006,0.047821,0.158828571,0.119279361
AMPAS93,0.530743933,0.432124101,0.091168733,0.0064448,0.2049024,0.228228,0.107252556,0.098494006,0.01015,0.111471429,0.104756111
AMPAS40,0.475915033,0.486531731,0.125071833,0.0557992,0.066816,0.228228,0.054611722,0.125144385,0.013514,0.164171429,0.129090194
AMPAS71,0.356363733,0.36872889,0.123669333,0.0304304,0.050112,0.152152,0.080685778,0.054447965,0.020029333,0.098114286,0.115451528
AMPAS132,0.472850767,0.481929868,0.125071833,0.095982933,0.099644,0.152152,0.116662042,0.098712017,0.017491833,0.104732143,0.144331833
AMPAS90,0.5823326,0.37513529,0.141185,0.0128896,0.099644,0.328614,0.096724389,0.041846873,0.0025375,0.118575,0.115451528
AMPAS61,0.494783533,0.415164006,0.102164333,0.02888,0.1355112,0.228228,0.079700333,0.064547585,0.0503585,0.108982143,0.111575444
AMPAS70,0.398145633,0.430500874,0.146576833,0.0164768,0.08294,0.152152,0.088581903,0.082810444,0.033543333,0.096475,0.129090194
AMPAS46,0.430219833,0.439119859,0.125071833,0.053352,0.099644,0.152152,0.043590833,0.091614521,0.025930833,0.162532143,0.115451528
AMPAS51,0.496528889,0.442082833,0.11968,0.028653689,0.1199672,0.228228,0.12982225,0.109628011,0.0025375,0.100603571,0.0994915
AMPAS92,0.377872433,0.405209312,0.135581233,0.0597968,0.1064184,0.076076,0.089074625,0.039176414,0.060300667,0.117117857,0.09953975
AMPAS38,0.472306019,0.503701147,0.123669333,0.047888686,0.148596,0.152152,0.056751042,0.134920022,0.036907333,0.155125,0.11999775
AMPAS43,0.555566305,0.42210677,0.123669333,0.036466971,0.066816,0.328614,0.049101278,0.106185901,0,0.155914286,0.110905306
AMPAS123,0.5410767,0.47680038,0.103566833,0.102863467,0.1064184,0.228228,0.101890431,0.12196989,0,0.104732143,0.148207917
AMPAS129,0.460058505,0.532418523,0.102164333,0.030022171,0.099644,0.228228,0.116662042,0.102820006,0.0638725,0.104732143,0.144331833
AMPAS121,0.564070833,0.512520928,0.089953233,0.1066432,0.1392464,0.228228,0.112664958,0.12039739,0.034307,0.103092857,0.142058722
AMPAS47,0.40401,0.450065245,0.112673733,0.039540267,0.099644,0.152152,0.094092347,0.129624017,0.063935333,0.076560714,0.085852833
AMPAS52,0.426462467,0.470614625,0.102164333,0.026214933,0.0698552,0.228228,0.085210778,0.082453549,0.0638725,0.112260714,0.126817083
AMPAS75,0.656835533,0.53629461,0.102164333,0,0.2017472,0.352924,0.113290917,0.105520022,0.054336333,0.134057143,0.129090194
AMPAS57,0.522634333,0.438127315,0.112673733,0.0443194,0.0370272,0.328614,0.102270028,0.060439596,0.0638725,0.102242857,0.109302333
AMPAS58,0.624418533,0.338440489,0.112673733,0.0128896,0.0698552,0.429,0.085210778,0.07505589,0.0160515,0.100603571,0.06151875
AMPAS89,0.291853067,0.40804631,0.11968,0.045985067,0.050112,0.076076,0.067525569,0.04578451,0.040885167,0.155914286,0.097936778
AMPAS91,0.522002033,0.55591081,0.135581233,0.0293664,0.2049024,0.152152,0.145270097,0.086340391,0.023393333,0.187728571,0.113178417
AMPAS122,0.392350333,0.531424143,0.112673733,0.0278806,0.099644,0.152152,0.12982225,0.110712,0.017491833,0.104732143,0.168665917
AND39,0.5198139,0.407250268,0.1425875,0.0493544,0.099644,0.228228,0.107780472,0.039792879,0.0295655,0.096475,0.133636417
AND44,0.424185633,0.417557236,0.1425875,0.029802133,0.099644,0.152152,0.090721222,0.043855954,0.025930833,0.130232143,0.126817083
AND42,0.420371233,0.388962445,0.1425875,0.042691733,0.08294,0.152152,0.102270028,0.032766862,0.050421333,0.096475,0.107029222
BEL5,0.5080247,0.443774968,0.1115455,0.0493544,0.1949728,0.152152,0.079700333,0.030388884,0.036907333,0.1836,0.113178417
BEL80,0.4705344,0.48099051,0.11968,0.0990584,0.099644,0.152152,0.060122167,0.032442879,0.084728333,0.170060714,0.133636417
BEL27,0.487504233,0.62243192,0.1640925,0.055581333,0.0396024,0.228228,0.053133556,0.058172857,0.159848,0.174189286,0.177088222
BEL12,0.422267433,0.40698449,0.1640925,0.049136533,0.0568864,0.152152,0.058890361,0.032442879,0.066472833,0.136,0.113178417
BEL9,0.46069707,0.45581199,0.157086233,0.068518836,0.08294,0.152152,0.079700333,0.0363037,0.060571333,0.150146429,0.129090194
BEL4,0.566841119,0.409664092,0.135581233,0.064365486,0.1386664,0.228228,0.074189889,0.034496873,0.0295655,0.146867857,0.124543972
