ID,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,cdd_ssp245,cdd_ssp370,cdd_ssp585,evspsbl_ssp245,evspsbl_ssp370,evspsbl_ssp585,npp_ssp245,npp_ssp370,npp_ssp585,pH_trend_ssp245,pH_trend_ssp370,pH_trend_ssp585,r10p_ssp245,r10p_ssp370,r10p_ssp585,tap_trend_ssp245,tap_trend_ssp370,tap_trend_ssp585,sst_trend_ssp245,sst_trend_ssp370,sst_trend_ssp585,sst90p_ssp245,sst90p_ssp370,sst90p_ssp585,ts_trend_ssp245,ts_trend_ssp370,ts_trend_ssp585,ts90p_ssp245,ts90p_ssp370,ts90p_ssp585,ts90Int_ssp245,ts90Int_ssp370,ts90Int_ssp585,r10Int_ssp245,r10Int_ssp370,r10Int_ssp585,sst90Int_ssp245,sst90Int_ssp370,sst90Int_ssp585,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exposure,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
A137,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.3920385152452894,0.900872,0.865315,0.632159,0.3889237769486756,0.3926805778621513,0.3860475682217946,0.6563740585030362,0.5109871657122084,0.763768967767251,0.4575688343747878,0.46686127838777586,0.4836653471509786,0.23315855731805069,0.4603250027475187,0.45369232661857367,0.3247519704691138,0.41269627094124883,0.39519406218441494,0.41637227941964317,0.5923624660738299,0.7786106258995833,0.5405064250212351,0.5468274267101411,0.7596080689508771,0.6362251288566739,0.7484405931056308,0.7830631791211762,0.3727223414041346,0.4638260596742587,0.5989191550693871,0.5845967225247338,0.6097000900462636,0.6378805467263648,0.4145798653375148,0.38849131484368216,0.37425384389422517,0.6936221746336946,0.6417922162897307,0.6157215523518293,0.27473854800963815,0.4253357768207239,0.5010088349023863,0.4610877448323794,0.5123327876319357,0.5793410829891417,0.6975961288113224,0.14913640435071684,0.1094905318740054,0.15739156680754546,0.2360071839270709,2.9558258236193695,3.091718261813942,4.6792428428559925,3.680890245520878,0.48605716391513315,0.6474372587827413,0.6625472531274
A138,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.39451504165343626,0.900872,0.865315,0.632159,0.39029990995373637,0.3931021137354822,0.38709951106692436,0.6568601601777511,0.5116621365301818,0.7691256989228613,0.4583397650771463,0.4659146815655572,0.4845889568223791,0.23405082588208687,0.45968558100246626,0.4542762131906001,0.3256153082329028,0.41277194625668245,0.3946943516867215,0.41644663552880595,0.5909699376148128,0.7854128285279154,0.5398667277272281,0.5466324365925607,0.7545495319068682,0.6355074219194492,0.7512500579184337,0.7739454566824192,0.3713684282470795,0.4631914184795003,0.5985977766859067,0.5845220264033005,0.6091016801038313,0.6390310332546316,0.4133008928427309,0.38840468222023267,0.37415860951651825,0.6957429078259736,0.6423301885855891,0.6159886712010287,0.2711113139608098,0.42590687131320554,0.5001528523542041,0.46100248644453856,0.5123787486091181,0.5793554993706906,0.698215260413359,0.14960731597618862,0.10992530289108668,0.15715449636691153,0.23493923291242302,2.9718972508675416,3.081416730435237,4.661153848416318,3.6865346697943564,0.4869491699178656,0.6492463302171749,0.6656020019729579
A139,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.39162289981013537,0.900872,0.865315,0.632159,0.38987112385313605,0.39394201121397765,0.38744860617645616,0.6564953897817026,0.5116007635069821,0.7668414426819493,0.4581471633798075,0.4661672727356089,0.4842196037811637,0.23360617649288873,0.4598135387617702,0.45388705319305195,0.32590147545024617,0.4123174732527194,0.39436039165305414,0.4167438017215764,0.5912785303311535,0.7764955266251672,0.5399945936374094,0.5473478895525288,0.7560671836632965,0.6368434492188533,0.7474147936048188,0.7749534915888989,0.3711739327132285,0.4639528895866799,0.5987583944626844,0.5839254044923834,0.6102147694864585,0.6396629375952437,0.4145048490558657,0.3890964362657744,0.3752026986504342,0.6934476362112876,0.6429788165421274,0.6168824362231232,0.2739752252523246,0.42626311859331034,0.5000917113997208,0.46112540163543925,0.5124914079564546,0.5788362675149419,0.6974922249525338,0.14908506603749364,0.10924600651776421,0.15618491126894662,0.23618657248649497,2.9531408903121115,3.0930354990718527,4.691168348319622,3.7060959526250263,0.4858997502634321,0.6478178308809882,0.663546664181431
A140,NA,NA,NA,NA,173,0.900872,0.865443,0.62906,0.687666,0.632224,0.145165,NA,NA,NA,NA,0.3961501691907737,0.900872,0.865443,0.62906,0.38952727675009285,0.39335452525206077,0.3858715574655687,0.6556487626740998,0.5117235120138757,0.76419940896069,0.4578259669834164,0.466924325221991,0.48465050413939875,0.23623103223274902,0.45962158826321964,0.454923954144684,0.3276019535245237,0.4117859691195671,0.3944439434672414,0.416818028913114,0.5922072471485809,0.7780752912839792,0.5401224961835115,0.5474781172780377,0.7588053899743926,0.6366370173181983,0.7491326818711455,0.7824892205978086,0.37262606713809193,0.46363575363892684,0.5994829490342648,0.5838509445106705,0.6105587993665211,0.6380889647230469,0.41397897785545745,0.38779693470797083,0.37444412127662435,0.6943236539956582,0.6415776697914034,0.6164349025152718,0.27268638328845685,0.42555009656499215,0.5003362754608874,0.4613752739513877,0.5124113246337149,0.5794035756187583,0.6978812922976934,0.14871585575055224,0.10975726902641875,0.15723264617836255,0.2345635622643922,2.9752331758632864,3.102394641263223,4.668586683861245,3.685008105514493,0.48901234301395413,0.6498247784931278,0.665628977727079
A141,NA,NA,NA,NA,174,0.900872,0.86499,0.62906,0.687294,0.631369,0.145949,NA,NA,NA,NA,0.39817687938397306,0.900872,0.86499,0.62906,0.38995697170838456,0.3927649703951165,0.3859595875790846,0.6566168502361543,0.5114166590689236,0.7612421224557896,0.4574402091806364,0.46648284187552386,0.48354214116851607,0.23580059103931003,0.4601332722727719,0.4540816818800953,0.3273204798391764,0.4120898561203173,0.39544336837024685,0.4165952701921296,0.5915876106861642,0.7848171192421466,0.5409547653067116,0.5466974222442995,0.7553042408024608,0.6363279795274545,0.7467389436526112,0.7759774226626872,0.3729146919841837,0.46388947869732666,0.5990800589933878,0.5840744027112149,0.6107310894001936,0.637984713760095,0.4142045139226969,0.38918269651292436,0.3755804827586468,0.6953860249281851,0.6427622334012429,0.6169721003643094,0.2759946514648756,0.4260494332920738,0.5003974166201991,0.4618144155416241,0.5123481928938068,0.5789524966659743,0.6982747198459933,0.14867931980269186,0.1092523969670006,0.15652814374139473,0.23358726695888024,2.9893526686491643,3.1061106289326927,4.689583085747402,3.698711827966737,0.49122578754267565,0.653133383739009,0.668338451055513
AA129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7232610871408033,0.7250086372585418,0.7260247747476751,0.42115336751352006,0.39660202237418535,0.4909748552519477,0.6358145308026543,0.6154548951861166,0.7444218705709801,0.30810856619530286,0.4798389660212699,0.5400585403223349,0.3603370624047563,0.30567634600434124,0.19500303398675356,0.68197020649626106,0.6506950844070467,0.7530640257072176,0.5115393929311325,0.5129515586667959,0.6910380066193932,0.5837765105589328,0.6598214287079073,0.7031944298734677,0.47444092848133657,0.5899703408140073,0.7088126055675653,0.41094791470382797,0.43713448773801256,0.475498724732494,0.6202359256531536,0.5843727133331194,0.5470225166022441,0.3167855052498822,0.28715394976459124,0.3002357477863354,0.3454306603231835,0.505718421938458,0.5508146013135399,0.49183089680421127,0.519261450170338,0.5712433640832268,NA,0.14454891664090758,0.13568229978316299,0.1756612341332354,NA,NA,3.4025221927192386,3.827038980030421,3.2519603252357356,NA,NA,NA
AA130,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.37917830130327906,0.898714,0.863339,0.631769,0.7196398475849258,0.7220358297415793,0.7225236888234342,0.3320052831010753,0.38987112385313605,0.47853933368665363,0.6153661116016461,0.6043906295467162,0.7191690348926406,0.2998610941854597,0.477547779647365,0.5421740330165837,0.3983255809352979,0.31014385554340745,0.20762694213235386,0.6847925499205193,0.6572261033599781,0.7556846702293009,0.5183076885447255,0.5211510504463867,0.7016534867469005,0.588062030443028,0.6694876347338473,0.7130637725356875,0.45557063751868476,0.5828112192361656,0.7055578023681739,0.3870121168362781,0.41284759360318196,0.45602269655960254,0.6654643317761337,0.6164349025152718,0.5701323570294579,0.3697064209599816,0.2975794068657,0.34240677034335704,0.3375215065085835,0.5037606635282502,0.546957475520181,0.4901257846089492,0.5204067532785374,0.5739624664526406,0.6932500753258197,0.1490614321143456,0.13734188372262185,0.1687551012194738,0.24053181944753252,2.882155371036218,3.28807913393031,3.7891336508064812,3.401156245381738,0.5218617377023962,0.5905822718424982,0.6207672437466131
AA131,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.3787344857846173,0.898714,0.863339,0.631769,0.7139403691484556,0.7182354894011241,0.7180037598605364,0.34720761343665046,0.34005347543528097,0.6838426412850132,0.593999875220762,0.585945816252778,0.6876998379598368,0.2916010449438583,0.476120237030553,0.5440418523721421,0.36581519323938955,0.32885922031808557,0.2145871714720846,0.6867209039146448,0.6617127998550737,0.7576186076831921,0.5251855521439509,0.528179479272783,0.712412293135918,0.5927510600237887,0.6804367024445404,0.7230145325210057,0.43917611133204687,0.5727421605297873,0.695564291986622,0.36138851453755966,0.39149454952882023,0.3956923110963577,0.7037793116071291,0.650810627556077,0.6459403053182479,0.37994727409479534,0.3248963681460607,0.3749187046033844,0.3314648370410777,0.5031490492992039,0.5434612798631677,0.4871521277449315,0.5202027673130898,0.592061353012116,0.6931391214461543,0.15508035527186848,0.13997980619403988,0.16806656187585445,0.24072501329937426,2.8793813818763474,3.141288442955358,3.716270092501665,3.5227789894902077,0.507279384176597,0.5849810982020037,0.6501973058766423
AA132,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.3782896049534981,0.898714,0.863339,0.631769,0.46912643745585153,0.47263271096795423,0.4679320838780523,0.5966019103022494,0.4705063046394617,0.6808942542063635,0.5117848899712116,0.534211659655679,0.5588637319280978,0.35136573321275616,0.5934525144012799,0.6017561085437776,0.38176702068301077,0.5171973923939652,0.4229653701683599,0.5276170846488577,0.5489136341684274,0.7115514325934569,0.5533212568098138,0.5306224368943827,0.7739454566824192,0.505718421938458,0.5670631607777862,0.6003725090040578,0.4327981073938932,0.5574521987720611,0.6901923023958645,0.3382872001449262,0.3449521658685245,0.38849131484368216,0.7340984112369319,0.7252614519903618,0.6557693267022198,0.6460513697539345,0.6600717607738336,0.6832144947501179,0.6401919205689307,0.64931726094936,0.6863968097378936,0.5145176741631404,0.551665742481006,0.6094111688795664,0.6930279012383745,0.12036326353412527,0.09615375545078103,0.1186527415470588,0.2409187205362069,2.8766046063000803,4.274706908534969,5.737329133893178,5.136090080462811,0.6131289681508967,0.7325126769473076,0.7787451194271919
AB129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7177726841607704,0.7203512213915518,0.7213095445506729,0.36128375579779726,0.3605480437430349,0.5617068213699932,0.630786254268473,0.601837836073916,0.7580119433717499,0.30060883739682565,0.47760978744401233,0.5421097742976427,0.3528323874903811,0.30930119207282825,0.24119461002560716,0.6813539370351739,0.6540928192602722,0.7588053899743926,0.5181842612655739,0.5209034395745115,0.7010824888107767,0.588138016404514,0.6693510400587883,0.7132820620116633,0.4681837365441978,0.578192657315727,0.6995775129084303,0.3901285312998208,0.40482185791840797,0.41607459550761655,0.6588256640979612,0.6282433960074945,0.6148344757133117,0.3256153082329028,0.2884485674065431,0.3469722486563541,0.33866806316944936,0.5043723565615438,0.547412997785572,0.48710626439721855,0.5167749396022024,0.5863364973064449,NA,0.15241444138408378,0.141667280259668,0.16579056226311722,NA,NA,3.1959324849652058,3.6478073035282645,3.53660961940585,NA,NA,NA
