ID,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,evspsbl_245_2050,evspsbl_370_2050,evspsbl_585_2050,npp_245_2050,npp_370_2050,npp_585_2050,pH_trend_245_2050,pH_trend_370_2050,pH_trend_585_2050,tap_trend_245_2050,tap_trend_370_2050,tap_trend_585_2050,sst_trend_245_2050,sst_trend_370_2050,sst_trend_585_2050,ts_trend_245_2050,ts_trend_370_2050,ts_trend_585_2050,cdd_245_2050,cdd_370_2050,cdd_585_2050,r10p_245_2050,r10p_370_2050,r10p_585_2050,sst90p_245_2050,sst90p_370_2050,sst90p_585_2050,ts90p_245_2050,ts90p_370_2050,ts90p_585_2050,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exp,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
A137,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.4276045581914555,0.900872,0.865315,0.632159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.7064876395478639,NA,NA,NA,0.22084076445896494,0.4699369792418606,NA,NA,NA,NA,NA,NA
A138,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.4276045581914555,0.900872,0.865315,0.632159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.7064876395478639,NA,NA,NA,0.22084076445896494,0.4699369792418606,NA,NA,NA,NA,NA,NA
A139,NA,NA,NA,NA,172,0.900872,0.865315,0.632159,0.687539,0.632707,0.146009,NA,NA,NA,NA,0.4276045581914555,0.900872,0.865315,0.632159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.7064876395478639,NA,NA,NA,0.22084076445896494,0.4699369792418606,NA,NA,NA,NA,NA,NA
A140,NA,NA,NA,NA,173,0.900872,0.865443,0.62906,0.687666,0.632224,0.145165,NA,NA,NA,NA,0.4316888849447501,0.900872,0.865443,0.62906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.7067659712361876,NA,NA,NA,0.21951550532032726,0.4685248182544093,NA,NA,NA,NA,NA,NA
A141,NA,NA,NA,NA,174,0.900872,0.86499,0.62906,0.687294,0.631369,0.145949,NA,NA,NA,NA,0.43411187296818077,0.900872,0.86499,0.62906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.7072584682420452,NA,NA,NA,0.21839528286695034,0.46732781092820735,NA,NA,NA,NA,NA,NA
AA129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4827088774972714,0.4710517061486604,0.5857697293072383,0.559795696254405,0.5282326231143045,0.7050655545355102,NA,NA,NA,0.6801833091517504,0.6467542682304694,0.768131186650851,NA,NA,NA,0.47345717925815484,0.5904465878476893,0.708197570930488,0.6786107556053874,0.6808186361226755,0.6821004011866842,0.36875237378725884,0.30409976433958175,0.1922530772895584,NA,NA,NA,0.41210476637027654,0.438471869773405,0.4771721771642344,0.29526806655637705,0.4793048651215204,0.6073781752325361,0,0,0,0,0.4389867804978757,0.459908924522034,0.5251186524774556,NA,0.20985412073700965,0.20681305481733975,0.2619375584370686,NA,NA,0.4580983745190651,0.454767033564813,0.5117983572043473,NA,NA,NA
AA130,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863339,0.631769,0.39409037859183127,0.46050746653672364,0.5655217294478236,0.5280895766180589,0.5099644154505497,0.6734230271100738,NA,NA,NA,0.6843803423392865,0.6549460874685977,0.7743510692290243,NA,NA,NA,0.4556861600400301,0.5831859390980764,0.7049320098076475,0.6740211955671451,0.6770600664742698,0.6776777693901989,0.38894298235260905,0.31437875114487496,0.2062157597591368,NA,NA,NA,0.38802935633323254,0.4140164801802348,0.457513115443788,0.314295627882567,0.4872913221708,0.6214847149882369,0,0,0,0,0.4252817355249734,0.4557056142804585,0.5201243550195478,0.7004499533046731,0.20535362925973127,0.20563602497580588,0.257980526177034,0.2281070653725507,0.4776055541684484,0.4531596068271435,0.4534710850493181,0.5079178340805075,0.5726411364376021,0.5907102194076886,0.6052809815467869
AA131,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863339,0.631769,0.41540793390102315,0.40528387789723935,0.7423201617654859,0.4921432107045641,0.4788874234424093,0.6325689045309666,NA,NA,NA,0.6863735948084244,0.6596427337462012,0.7791437605984809,NA,NA,NA,0.439090523155787,0.5729808289897955,0.6949044724053675,0.6667566346765493,0.6722359439134872,0.6719410702864045,0.3722835322449282,0.33544484427673393,0.2116271277472909,NA,NA,NA,0.3622772883173916,0.3925363530682699,0.3967577467345065,0.33491102665025163,0.49721428264437784,0.6385670832074413,0,0,0,0,0.41880486049543547,0.4460251431087238,0.5297589252528827,0.7004499533046731,0.20207361210183128,0.20381030923664992,0.2685178461275606,0.2281070653725507,0.4776055541684484,0.44952598601396926,0.4514535515827181,0.5181870763802978,0.5704737848804123,0.5859401778172552,0.606976924911087
AA132,NA,NA,NA,NA,168,0.898714,0.863339,0.631769,0.688494,0.63197,0.150387,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863339,0.631769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43263152096263957,0.5574956960979716,0.6895135389548134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3390750023346985,0.34576782932977407,0.3895165856276389,0.3502552441707633,0.5070599186302946,0.6594030845911696,0,0,0,0,0.2804904418670253,0.3525808610145101,0.43460830229340547,0.7004499533046731,0.19159077421491114,0.2518025349578604,0.31959714911115283,0.2281070653725507,0.4776055541684484,0.4377108340159187,0.5017992974864158,0.5653292395685481,0.4836141571350234,0.49999538989383685,0.5266929160303335
AB129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4355695880676824,0.4346344115583951,0.6557169063630596,0.5522093448152643,0.5056105726777935,0.7217670985350576,NA,NA,NA,0.679237108054512,0.6519079918846562,0.7811544134588476,NA,NA,NA,0.46711183967389247,0.5785040842275466,0.6989315430130735,0.6716469452216871,0.6749243532945818,0.6761398209327867,0.36338423191434904,0.31437875114487496,0.23120842519023016,NA,NA,NA,0.39116277688889534,0.40594091197047516,0.4172642795756421,0.31182874145328976,0.4846148366682446,0.6176077247609929,0,0,0,0,0.4302389528988414,0.4500573237140631,0.5333100235366323,NA,0.20665966527073434,0.20470473320714347,0.2636320514669397,NA,NA,0.4545983559921157,0.4524430717859911,0.513451118868135,NA,NA,NA
AB130,NA,NA,NA,NA,169,0.89926,0.863606,0.626771,0.687986,0.632429,0.147486,NA,NA,NA,NA,0.41295318451493723,0.89926,0.863606,0.626771,0.3995854233998172,0.4286422788609768,0.7298322434444446,0.5242377104328668,0.48679940631611934,0.6973203819330456,NA,NA,NA,0.6860388049767252,0.6591121666404473,0.7933812226195369,NA,NA,NA,0.4486909318465241,0.5676497324724665,0.6941909998727617,0.6645231399890669,0.669032686308951,0.6707690110390221,0.36875237378725884,0.31903583227317633,0.22410103143049057,NA,NA,NA,0.3767274902199803,0.39725738772022495,0.39957037508820287,0.3307185360090747,0.4936838161935934,0.6331735028532646,0,0,0,0,0.42214160118459043,0.4468014785317728,0.5380376409200854,0.7006475461287343,0.2035627567651407,0.20359414939302564,0.2705602307575053,0.2267363772410302,0.4761684336881543,0.4511792955856249,0.45121408377069266,0.5201540452188229,0.5720661654453345,0.5868925134702329,0.6115231537730037
AB131,NA,NA,NA,NA,168,0.898714,0.863522,0.629878,0.688494,0.632234,0.148369,NA,NA,NA,NA,0.40797781321869236,0.898714,0.863522,0.629878,NA,NA,NA,NA,NA,NA,NA,0.4904155303592085,NA,NA,NA,NA,NA,0.5205926100981126,NA,0.43326325554234274,0.5560731344681294,0.6875071703521223,NA,NA,NA,NA,NA,NA,NA,0.6866336730312883,NA,0.35289127850181834,0.3663173327041672,0.3896036437797735,0.34732236425890733,0.5027238038659231,0.6511434649990454,0,0,0,0,0.2833692245757671,0.4461080120752613,0.4320635697827353,0.7000229533046731,0.19295047552287287,0.2183423504776562,0.3171378287166951,0.22834239541320409,0.4778518550902613,0.4392612838879303,0.4672711744561783,0.5631499167332755,0.4846479184212328,0.5783357561947815,0.525708870467844
