ID,TC,tc_245_2050,tc_370_2050,tc_585_2050
A137,0,0,0,0
A138,0,0,0,0
A139,0,0,0,0
A140,0,0,0,0
A141,0,0,0,0
AA129,0,0,0,0
AA130,0,0,0,0
AA131,0,0,0,0
AA132,0,0,0,0
AB129,0,0,0,0
AB130,0,0,0,0
AB131,0,0,0,0
AC128,0,0,0,0
AC129,0,0,0,0
AC130,0,0,0,0
AC131,0,0,0,0
AD127,0,0,0,0
AD128,0,0,0,0
AD129,0,0,0,0
AD130,0,0,0,0
AE127,0,0,0,0
AE128,0,0,0,0
AE129,0,0,0,0
AF126,0,0,0,0
AF127,0,0,0,0
AF128,0,0,0,0
AF129,0,0,0,0
AG125,0,0,0,0
AG126,0,0,0,0
AG127,0,0,0,0
AG128,0,0,0,0
AH124,0,0,0,0
AH125,0,0,0,0
AH126,0,0,0,0
AH127,0,0,0,0
AI124,0,0,0,0
AI125,0,0,0,0
AI126,0,0,0,0
AJ122,0,0,0,0
AJ123,0,0,0,0
AJ124,0,0,0,0
AK121,0,0,0,0
AK122,0,0,0,0
AK123,0,0,0,0
AK124,0,0,0,0
AL120,0,0,0,0
AL121,0,0,0,0
AL122,0,0,0,0
AL123,0,0,0,0
AM119,0,0,0,0
AM120,0,0,0,0
AM121,0,0,0,0
AM122,0,0,0,0
AN117,0,0,0,0
AN118,0,0,0,0
AN119,0,0,0,0
AN120,0,0,0,0
AN121,0,0,0,0
AO115,0,0,0,0
AO116,0,0,0,0
AO117,0,0,0,0
AO118,0,0,0,0
AO119,0,0,0,0
AO120,0,0,0,0
AP114,0,0,0,0
AP115,0,0,0,0
AP116,0,0,0,0
AP117,0,0,0,0
AP118,0,0,0,0
AP119,0,0,0,0
AQ112,0,0,0,0
AQ113,0,0,0,0
AQ114,0,0,0,0
AQ115,0,0,0,0
AQ116,0,0,0,0
AQ117,0,0,0,0
AR111,0,0,0,0
AR112,0,0,0,0
AR113,0,0,0,0
AR114,0,0,0,0
AR115,0,0,0,0
AS110,0,0,0,0
AS111,0,0,0,0
AS112,0,0,0,0
AS113,0,0,0,0
AS114,0,0,0,0
AT109,0,0,0,0
AT110,0,0,0,0
AT111,0,0,0,0
AT112,0,0,0,0
AT113,0,0,0,0
AU109,0,0,0,0
AU110,0,0,0,0
AU111,0,0,0,0
AU112,0,0,0,0
AV107,0,0,0,0
AV108,0,0,0,0
AV109,0,0,0,0
AV110,0,0,0,0
AW106,0,0,0,0
AW107,0,0,0,0
AW108,0,0,0,0
AW109,0,0,0,0
AX105,0,0,0,0
AX106,0,0,0,0
AX107,0,0,0,0
AX108,0,0,0,0
AX109,0,0,0,0
AY104,0,0,0,0
AY105,0,0,0,0
AY106,0,0,0,0
AY107,0,0,0,0
AY108,0,0,0,0
AZ103,0,0,0,0
AZ104,0,0,0,0
AZ105,0,0,0,0
AZ106,0,0,0,0
AZ107,0,0,0,0
B136,0,0,0,0
B137,0,0,0,0
B138,0,0,0,0
B139,0,0,0,0
B140,0,0,0,0
B141,0,0,0,0
