Stephs ID,Nb_sp,Coral,Mangrove,Seagrass,FRic,FDiv,FEve,FDis,FSpe,FOri,Coral_coun,ID
348591,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
348592,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
348593,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
348594,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
348595,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
348596,169,0,0,0,0.898785,0.863061,0.63404,0.689241,0.633109,0.152343,0,Z132
348597,169,0,0,0,0.898785,0.863061,0.63404,0.689241,0.633109,0.152343,0,Z132
349218,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
349219,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
349220,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349221,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349222,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349223,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349224,169,0,0,0,0.898785,0.863061,0.63404,0.689241,0.633109,0.152343,0,Z132
349849,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
349850,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
349851,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349852,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349853,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349854,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
349855,169,0,0,0,0.898785,0.863061,0.63404,0.689241,0.633109,0.152343,0,Z132
350485,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
350486,167,0,0,0,0.898028,0.86225,0.634888,0.688213,0.632369,0.150776,0,Z132
350487,168,0,0,0,0.898028,0.862093,0.63178,0.687084,0.631742,0.149879,0,Z132
