ID,Country,Villages,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,cdd_126_2050,cdd_126_2100,cdd_245_2050,cdd_245_2100,cdd_370_2050,cdd_370_2100,cdd_585_2050,cdd_585_2100,evspsbl_126_2050,evspsbl_126_2100,evspsbl_245_2050,evspsbl_245_2100,evspsbl_370_2050,evspsbl_370_2100,evspsbl_585_2050,evspsbl_585_2100,npp_126_2050,npp_126_2100,npp_245_2050,npp_245_2100,npp_370_2050,npp_370_2100,npp_585_2050,npp_585_2100,pH_trend_126_2050,pH_trend_126_2100,pH_trend_245_2050,pH_trend_245_2100,pH_trend_370_2050,pH_trend_370_2100,pH_trend_585_2050,pH_trend_585_2100,r10Int_126_2050,r10Int_126_2100,r10Int_245_2050,r10Int_245_2100,r10Int_370_2050,r10Int_370_2100,r10Int_585_2050,r10Int_585_2100,r10p_126_2050,r10p_126_2100,r10p_245_2050,r10p_245_2100,r10p_370_2050,r10p_370_2100,r10p_585_2050,r10p_585_2100,tap_trend_126_2050,tap_trend_126_2100,tap_trend_245_2050,tap_trend_245_2100,tap_trend_370_2050,tap_trend_370_2100,tap_trend_585_2050,tap_trend_585_2100,sst_trend_126_2050,sst_trend_126_2100,sst_trend_245_2050,sst_trend_245_2100,sst_trend_370_2050,sst_trend_370_2100,sst_trend_585_2050,sst_trend_585_2100,sst90Int_126_2050,sst90Int_126_2100,sst90Int_245_2050,sst90Int_245_2100,sst90Int_370_2050,sst90Int_370_2100,sst90Int_585_2050,sst90Int_585_2100,sst90p_126_2050,sst90p_126_2100,sst90p_245_2050,sst90p_245_2100,sst90p_370_2050,sst90p_370_2100,sst90p_585_2050,sst90p_585_2100,ts_trend_126_2050,ts_trend_126_2100,ts_trend_245_2050,ts_trend_245_2100,ts_trend_370_2050,ts_trend_370_2100,ts_trend_585_2050,ts_trend_585_2100,ts90Int_126_2050,ts90Int_126_2100,ts90Int_245_2050,ts90Int_245_2100,ts90Int_370_2050,ts90Int_370_2100,ts90Int_585_2050,ts90Int_585_2100,ts90p_126_2050,ts90p_126_2100,ts90p_245_2050,ts90p_245_2100,ts90p_370_2050,ts90p_370_2100,ts90p_585_2050,ts90p_585_2100
BF100,Kenya,Faza,5052746.454,5843741.971,6545059.325,1414136.393,146.2383325,0.646235974,0.623658717,0.426571821,0.49881886,0.458887647,0.097313451,51.74193372,49.86313696,51.09549241,50.88884194,51.99946638,50.76022034,51.12026612,50.52831814,1.90E-08,-2.58E-08,2.80E-08,6.35E-08,-1.59E-08,-3.88E-09,3.37E-08,6.63E-08,6.71E-11,9.77E-12,8.78E-11,5.18E-11,7.51E-11,7.93E-11,1.46E-10,1.11E-10,-0.003980652,0.001668272,-0.005793232,-0.002039714,-0.008821964,-0.01353715,-0.008899569,-0.013391186,-15.95246,-22.38287391,-16.20572768,-21.11680047,-17.45461602,-18.82795849,-16.63623375,-22.34654759,9.97635487,9.554951639,10.98145316,12.05019143,12.70402275,13.80399939,11.51016212,12.88968749,0.000735969,0.012366324,-0.009123018,0.009688886,-0.010563267,0.024092147,0.011217992,0.013047552,0.030519055,-0.011124634,0.056323944,0.031448383,0.057703206,0.106006033,0.080191062,0.150063208,2.632464598,2.873169854,3.197026378,5.190806887,3.52702387,6.987078054,3.836278754,8.403969856,41.6651192,51.4220741,52.71384539,67.53664294,56.66461705,79.51272082,58.48869772,91.39535675,0.040672427,0.001058069,0.060241015,0.039331666,0.074095722,0.118828679,0.087918184,0.167016196,3.279639287,2.862844703,2.722620668,1.994828506,2.878434809,1.831015328,2.64087461,1.767442342,113.8488399,118.3506438,120.0244488,138.5748188,118.4387631,151.5737493,121.742405,164.0904236
BF101,Kenya,Kiwayu,4786737.794,9121113.716,8644468.548,1343840.408,149.036102,0.659483237,0.636422034,0.43559271,0.509103184,0.468293993,0.099380175,51.72305333,49.86214607,51.09094296,50.89726971,51.97412158,50.73922692,51.15776883,50.56291493,1.92E-08,-2.29E-08,2.83E-08,6.43E-08,-1.44E-08,-2.32E-09,3.71E-08,6.87E-08,6.48E-11,9.12E-12,8.34E-11,5.08E-11,7.33E-11,7.80E-11,1.42E-10,1.09E-10,-0.003980716,0.001668174,-0.005794318,-0.00204037,-0.008822647,-0.013536206,-0.008899627,-0.013391501,-15.98327303,-22.53608633,-16.36958997,-21.35842494,-17.61270391,-18.91622781,-16.7780205,-22.99451279,10.01999187,9.570576499,10.98103479,12.06420877,12.60919748,13.71998511,11.44916252,12.78868591,0.000574761,0.012280037,-0.009229467,0.009774455,-0.010675715,0.023988453,0.010951853,0.013244964,0.030281707,-0.011256376,0.056109365,0.031216187,0.057552074,0.105778082,0.079947841,0.149639904,2.634543644,2.876032873,3.196483672,5.19276399,3.520410925,6.986774221,3.833194008,8.402468343,41.59744176,51.35464303,52.60627003,67.44391916,56.49370483,79.409464,58.37252777,91.27547042,0.040882311,0.001177307,0.060128202,0.03950144,0.07393724,0.118922882,0.088085869,0.166986684,3.283706933,2.845673669,2.698945585,1.983898984,2.86541275,1.826674162,2.616599507,1.768284141,113.8432162,118.5527502,120.3537574,138.9140489,118.613251,151.8795829,122.0963018,164.2691051
BF101,Kenya,Ndau,4786737.794,9121113.716,8644468.548,1343840.408,149.036102,0.659483237,0.636422034,0.43559271,0.509103184,0.468293993,0.099380175,51.72305333,49.86214607,51.09094296,50.89726971,51.97412158,50.73922692,51.15776883,50.56291493,1.92E-08,-2.29E-08,2.83E-08,6.43E-08,-1.44E-08,-2.32E-09,3.71E-08,6.87E-08,6.48E-11,9.12E-12,8.34E-11,5.08E-11,7.33E-11,7.80E-11,1.42E-10,1.09E-10,-0.003980716,0.001668174,-0.005794318,-0.00204037,-0.008822647,-0.013536206,-0.008899627,-0.013391501,-15.98327303,-22.53608633,-16.36958997,-21.35842494,-17.61270391,-18.91622781,-16.7780205,-22.99451279,10.01999187,9.570576499,10.98103479,12.06420877,12.60919748,13.71998511,11.44916252,12.78868591,0.000574761,0.012280037,-0.009229467,0.009774455,-0.010675715,0.023988453,0.010951853,0.013244964,0.030281707,-0.011256376,0.056109365,0.031216187,0.057552074,0.105778082,0.079947841,0.149639904,2.634543644,2.876032873,3.196483672,5.19276399,3.520410925,6.986774221,3.833194008,8.402468343,41.59744176,51.35464303,52.60627003,67.44391916,56.49370483,79.409464,58.37252777,91.27547042,0.040882311,0.001177307,0.060128202,0.03950144,0.07393724,0.118922882,0.088085869,0.166986684,3.283706933,2.845673669,2.698945585,1.983898984,2.86541275,1.826674162,2.616599507,1.768284141,113.8432162,118.5527502,120.3537574,138.9140489,118.613251,151.8795829,122.0963018,164.2691051
BG99,Kenya,Matondoni,5573811.292,8274565.227,6808402.825,1598336.751,144.4523353,0.635807419,0.613543287,0.418892414,0.490737936,0.451514088,0.095518264,51.06357697,49.21878161,50.35323272,50.20846297,51.27697912,50.17872438,50.34456042,49.96820397,2.06E-08,-2.50E-08,2.97E-08,6.35E-08,-1.55E-08,-3.51E-09,3.26E-08,6.95E-08,6.79E-11,1.07E-11,9.22E-11,5.04E-11,7.59E-11,7.96E-11,1.48E-10,1.11E-10,-0.003981068,0.001668406,-0.005793292,-0.002039729,-0.008821531,-0.013537734,-0.008896597,-0.013395388,-15.68408548,-22.06334496,-16.01072788,-20.70145223,-17.16156838,-18.89553588,-16.2874451,-21.72085635,10.11132926,9.68788733,11.13640795,12.24626021,13.01944152,14.20267256,11.74103082,13.36923293,0.00068082,0.01248951,-0.009275977,0.009354374,-0.010690978,0.02401531,0.011216476,0.012492263,0.030797065,-0.010468017,0.056541015,0.031716588,0.057865059,0.1059,0.080390175,0.150534614,2.623806951,2.872360709,3.212002744,5.194096612,3.559618217,6.989202328,3.854332625,8.409109662,41.97860762,51.46942382,52.87464564,67.57891462,57.03392934,79.58520425,58.63882769,91.4529037,0.040393484,0.0009694,0.060242227,0.039200938,0.074090369,0.118651709,0.087725424,0.166960104,3.239556205,2.842428256,2.733646423,2.00257841,2.864594058,1.832391084,2.647006017,1.768811845,114.1665784,118.5557891,119.8648325,138.2934874,118.6033794,151.4897713,121.6540277,163.8572425
BK95,Kenya,Uyombo,5420009.608,5638381.846,5444013.645,2068292.899,144.4362604,0.628206883,0.606268484,0.411668863,0.484829779,0.446279253,0.093757098,48.64764174,47.05075486,47.68169803,47.83983262,48.74517016,48.15318906,47.63810061,48.06201372,2.19E-08,-7.31E-09,1.90E-08,5.25E-08,-1.90E-08,-4.96E-09,2.64E-08,6.72E-08,6.43E-11,2.23E-11,8.42E-11,4.68E-11,7.01E-11,8.34E-11,1.50E-10,1.12E-10,-0.003979727,0.001671515,-0.005797511,-0.002038885,-0.008824717,-0.013536144,-0.008906247,-0.013389935,-15.17808493,-20.66772295,-15.48159431,-19.63917387,-16.63228145,-19.21792007,-15.48775478,-20.72112374,11.03973276,10.62646734,11.78081368,13.05940234,13.95356008,15.715759,12.15846048,14.96031421,0.000396115,0.012166988,-0.010112728,0.008348542,-0.011393287,0.022756432,0.010350186,0.010753979,0.030469508,-0.010423456,0.056542374,0.03189117,0.057802716,0.106826542,0.080287827,0.150805013,2.594361512,2.86629644,3.222314731,5.186710536,3.539058972,6.991081914,3.866405797,8.406338158,41.99195178,51.27644342,52.71069535,67.25026983,56.44437885,79.14075101,58.39472316,90.93412892,0.039423295,0.00163928,0.060309026,0.03878227,0.074123571,0.119303108,0.087704819,0.167224374,3.070661826,2.745648356,2.713250712,2.011235362,2.805197845,1.832287223,2.614222228,1.775405859,115.6010355,119.6704896,120.1244502,137.9285495,119.4159513,151.5647754,122.2137729,163.6120948
BK96,Kenya,Mida,4529388.747,4718758.74,5595311.488,1936159.253,149.6153057,0.651095737,0.627977124,0.4264587,0.502045409,0.462190474,0.097155247,48.51087989,46.90032548,47.54870602,47.70155644,48.61013354,48.03147112,47.52654785,47.95773649,2.31E-08,-8.95E-09,2.51E-08,5.74E-08,-1.58E-08,-1.07E-09,3.23E-08,7.38E-08,6.13E-11,1.79E-11,8.23E-11,4.36E-11,6.87E-11,7.86E-11,1.43E-10,1.05E-10,-0.003979701,0.001671018,-0.005796391,-0.002039089,-0.008823868,-0.013535854,-0.008905057,-0.013389845,-15.19765177,-20.69205228,-15.47939939,-19.62784724,-16.59775101,-19.16815872,-15.43907684,-20.70095821,10.9982977,10.58812854,11.7310674,13.04971349,13.8974208,15.68105365,12.13459581,14.9350399,9.40E-05,0.012692375,-0.010258264,0.008787192,-0.011598378,0.023080999,0.010223192,0.011027165,0.030346751,-0.011037357,0.056569733,0.031902479,0.057835048,0.106836289,0.080341034,0.150849198,2.600961758,2.867980358,3.222715139,5.185248334,3.541219159,6.988516821,3.866952713,8.403820819,42.01680077,51.33212127,52.76487956,67.30319027,56.52822557,79.21850713,58.45528535,91.0149377,0.039509485,0.001494638,0.060220448,0.038803777,0.073954376,0.119115039,0.087609262,0.166918161,3.080946528,2.746467501,2.709972273,2.00224793,2.800561626,1.829840962,2.608969568,1.773613008,115.4991489,119.6448618,120.1443231,138.1398023,119.434184,151.668588,122.265198,163.7233791
BO94,Kenya,Gazi,6041615.219,5318764.329,6320754.226,1837027.914,151.0512764,0.651254876,0.627927628,0.425023397,0.501649523,0.462059166,0.096983301,46.2045076,44.75383508,45.11456877,45.478699,46.25188616,46.13337729,45.16590453,46.23256717,2.60E-08,1.96E-09,2.18E-08,5.55E-08,-1.04E-08,5.64E-09,3.87E-08,7.66E-08,5.35E-11,2.08E-11,7.52E-11,4.12E-11,6.45E-11,7.16E-11,1.27E-10,9.53E-11,-0.003980809,0.001672635,-0.005801002,-0.002041271,-0.00882689,-0.013532845,-0.008907264,-0.013390803,-15.21515698,-19.87604092,-15.29741033,-19.33910459,-16.29199916,-19.37930408,-15.31495398,-20.5912034,11.75819336,11.43584496,12.27306586,13.74272648,14.57548787,16.72862766,12.44344721,16.0444433,-0.000511697,0.013068961,-0.011179319,0.008892733,-0.012526841,0.021689645,0.008875021,0.00992182,0.029591851,-0.010593955,0.055908177,0.03127799,0.057138509,0.106495419,0.079417723,0.149477779,2.588224453,2.868533823,3.25183904,5.178640003,3.556692532,6.976798535,3.888846178,8.379483029,41.97587046,51.12750021,52.80613442,66.9172981,56.40452038,78.75166049,58.44991078,90.48584309,0.039545487,0.002492675,0.05940748,0.03916465,0.073726799,0.120005781,0.088321718,0.167960827,2.963139128,2.661177021,2.674125647,1.991696612,2.723460059,1.823206796,2.555534094,1.77872167,116.6193864,120.707274,120.4917819,138.1793548,120.4238962,152.0743815,122.9884303,163.4285836
BP93,Kenya,Vanga,6563064.69,5557209.156,5693829.296,1732485.85,152.9823603,0.657623468,0.633960334,0.428842537,0.506253563,0.466423635,0.097965131,45.46648486,44.03462748,44.37260717,44.71595713,45.50030679,45.40052774,44.40182527,45.51976426,2.50E-08,3.68E-09,1.88E-08,5.40E-08,-1.14E-08,4.91E-09,4.12E-08,7.70E-08,5.27E-11,1.78E-11,7.68E-11,4.17E-11,6.55E-11,6.90E-11,1.23E-10,9.13E-11,-0.003979333,0.001673708,-0.005802888,-0.002041158,-0.008827552,-0.013532946,-0.008909569,-0.013389318,-15.18375479,-19.70916497,-15.26449244,-19.15788232,-16.23230669,-19.35218432,-15.23834907,-20.54772454,11.81203392,11.58972956,12.33773621,13.90975117,14.78162814,16.99152355,12.61820448,16.34791512,-1.94E-05,0.013538614,-0.011100969,0.00911713,-0.012304836,0.021598379,0.009160769,0.009984101,0.029664022,-0.011076123,0.056382713,0.031933177,0.057678988,0.107307258,0.079864473,0.150698095,2.559726081,2.860874151,3.260515335,5.172844947,3.564241673,6.979281981,3.903904199,8.383899919,41.62473084,51.19191577,52.76902318,66.94471117,56.31701524,78.76813938,58.40939197,90.48562363,0.039507253,0.002949347,0.059118071,0.039509774,0.073720268,0.12047224,0.088541114,0.168646114,2.949966372,2.649891091,2.669834137,1.987176792,2.709788333,1.820190681,2.550666031,1.779459657,116.7867713,120.8701636,120.5298746,138.2114941,120.6222735,152.2282675,123.0818235,163.4114649
BQ92,Tanzania,Boma Subutuni,6637803.744,6172574.085,6400913.55,1601365.887,152.4800933,0.65406958,0.630694853,0.426405158,0.503605351,0.46403024,0.097452153,44.88256556,43.50593463,43.80622115,44.19370812,44.90686927,44.95900827,43.84007791,45.13824629,2.65E-08,4.79E-09,1.68E-08,5.20E-08,-1.05E-08,4.92E-09,4.32E-08,7.81E-08,5.38E-11,1.70E-11,7.41E-11,4.45E-11,6.63E-11,6.83E-11,1.21E-10,8.94E-11,-0.003978778,0.001674351,-0.005804452,-0.002041371,-0.008828279,-0.013531988,-0.008910579,-0.013389842,-15.16821686,-19.6637141,-15.2342674,-19.07694759,-16.27184282,-19.4630614,-15.29523233,-20.73579049,11.84552855,11.71749971,12.43250019,14.16147795,14.9572514,17.25357727,12.81751004,16.6881268,0.000155128,0.013117478,-0.011074954,0.008573108,-0.012330338,0.020630297,0.008934657,0.009219692,0.029362406,-0.011499636,0.056459882,0.032041614,0.057748375,0.10747368,0.079916325,0.151010044,2.539027052,2.859188394,3.257587887,5.170293826,3.559797647,6.9794531,3.902913875,8.382689155,41.19057864,51.14222223,52.63850058,66.85829485,56.15724299,78.66234664,58.2543903,90.35654226,0.039537457,0.003537958,0.058907318,0.040031292,0.073759858,0.121108582,0.088747187,0.169524378,2.947918561,2.642330069,2.661065167,1.980590235,2.699437609,1.818062282,2.540543771,1.782606006,116.9181202,121.0316915,120.6962671,138.3741467,120.8516737,152.4109192,123.2991923,163.3948786
BQ92,Tanzania,Moa,6637803.744,6172574.085,6400913.55,1601365.887,152.4800933,0.65406958,0.630694853,0.426405158,0.503605351,0.46403024,0.097452153,44.88256556,43.50593463,43.80622115,44.19370812,44.90686927,44.95900827,43.84007791,45.13824629,2.65E-08,4.79E-09,1.68E-08,5.20E-08,-1.05E-08,4.92E-09,4.32E-08,7.81E-08,5.38E-11,1.70E-11,7.41E-11,4.45E-11,6.63E-11,6.83E-11,1.21E-10,8.94E-11,-0.003978778,0.001674351,-0.005804452,-0.002041371,-0.008828279,-0.013531988,-0.008910579,-0.013389842,-15.16821686,-19.6637141,-15.2342674,-19.07694759,-16.27184282,-19.4630614,-15.29523233,-20.73579049,11.84552855,11.71749971,12.43250019,14.16147795,14.9572514,17.25357727,12.81751004,16.6881268,0.000155128,0.013117478,-0.011074954,0.008573108,-0.012330338,0.020630297,0.008934657,0.009219692,0.029362406,-0.011499636,0.056459882,0.032041614,0.057748375,0.10747368,0.079916325,0.151010044,2.539027052,2.859188394,3.257587887,5.170293826,3.559797647,6.9794531,3.902913875,8.382689155,41.19057864,51.14222223,52.63850058,66.85829485,56.15724299,78.66234664,58.2543903,90.35654226,0.039537457,0.003537958,0.058907318,0.040031292,0.073759858,0.121108582,0.088747187,0.169524378,2.947918561,2.642330069,2.661065167,1.980590235,2.699437609,1.818062282,2.540543771,1.782606006,116.9181202,121.0316915,120.6962671,138.3741467,120.8516737,152.4109192,123.2991923,163.3948786
