ID,Lat,Long,Country,Villages,Livelihood,Demography,Cultural,Health,Learning,Assets,Flexibility,Agency,Organisation,Sensitivity,AdaptiveCapacity,imp.ssp126.2050,imp.ssp126.2100,imp.ssp245.2050,imp.ssp245.2100,imp.ssp370.2050,imp.ssp370.2100,imp.ssp585.2050,imp.ssp585.2100
BF100,-2.0711021,41.08933994,Kenya,Faza,0.222346154,0.028849267,0.112027027,0.112516923,0.210041538,0.051068885,0.036734205,0.056457692,0.085636154,0.475739371,0.439938475,0.23979895826308553,0.22181960035323905,0.22696048829363422,0.23338159803739128,0.23223176069910328,0.2434166884397636,0.2400064172037035,0.2348238429228955
BF101,-2.0711021,41.33933994,Kenya,Kiwayu,0.231741333,0.020203245,0.066756757,0.095573333,0.222435556,0.03202944,0.064075852,0.0557,0.072066667,0.414274669,0.446307514,0.2420848231954602,0.22426309686710566,0.2289223957821007,0.2350417270130892,0.2348632192579336,0.24589651055549122,0.24239570641582292,0.237679351563069
BF101,-2.0711021,41.33933994,Kenya,Ndau,0.226930462,0.018555556,0.1,0.114116923,0.201306154,0.034773804,0.058577509,0.050088462,0.086713846,0.45960294,0.431459775,0.2420848231954602,0.22426309686710566,0.2289223957821007,0.2350417270130892,0.2348632192579336,0.24589651055549122,0.24239570641582292,0.237679351563069
BG99,-2.3211021,40.83933994,Kenya,Matondoni,0.221699,0.031864962,0.111554054,0.140022857,0.194844286,0.055663281,0.048407238,0.053035714,0.088032857,0.505140874,0.439983376,0.24615446547906375,0.22841234408825786,0.23397407204945417,0.2392108528953189,0.23871875996605232,0.24916388384078644,0.24682096010633073,0.24108784877343245
BK95,-3.3211021,39.83933994,Kenya,Uyombo,0.263786118,0.030309875,0.093211447,0.109176471,0.200948889,0.052091812,0.073407653,0.060317647,0.102069412,0.49648391,0.488835413,0.2567380290920343,0.2464884351736043,0.24360227059623404,0.24976993011115473,0.24815467720593015,0.26068287839869353,0.2591131793616199,0.2525598640813792
BK96,-3.3211021,40.08933994,Kenya,Mida,0.290925524,0.022467187,0.101724582,0.13376,0.21316381,0.061483901,0.059417932,0.069942857,0.093208571,0.548877292,0.497217071,0.25124698392684985,0.2400870137828146,0.23862107071988695,0.24455587436773477,0.24315818623019758,0.25512628789922204,0.25364872459209203,0.24743299444047342
BO94,-4.3211021,39.58933994,Kenya,Gazi,0.270536821,0.028736895,0.066846847,0.086203077,0.204749744,0.040925139,0.069339165,0.062965385,0.094418462,0.452323639,0.472397894,0.25374241488988897,0.24546728543671706,0.2422361869948081,0.24812660191812544,0.24937163037381782,0.2579487053662992,0.2557929486370551,0.250991083599282
BP93,-4.5711021,39.33933994,Kenya,Vanga,0.33676628,0.022975547,0.070059459,0.1264,0.1960576,0.028791481,0.088765931,0.058446,0.0874212,0.556201287,0.459482213,0.24851645103937095,0.23998542598533937,0.23889871938973134,0.24410993683683016,0.24622741201495169,0.2538479961469153,0.2515809723601531,0.2464793453471701
BQ92,-4.8211021,39.08933994,Tanzania,Boma Subutuni,0.421218761,0.121503075,0.037401245,0.044785599,0.078358014,0.05211359,0.082431684,0.074772713,0.170931076,0.62490868,0.458607076,0.2428818557274217,0.23415656936829612,0.23416905418953524,0.2398161922463689,0.24174024532980154,0.24896358662961984,0.24656649022494564,0.24130135586184465
BQ92,-4.8211021,39.08933994,Tanzania,Moa,0.392405984,0.119166011,0.037663971,0.046466432,0.077168691,0.056560765,0.087895564,0.07139035,0.162816759,0.595702398,0.455832128,0.2428818557274217,0.23415656936829612,0.23416905418953524,0.2398161922463689,0.24174024532980154,0.24896358662961984,0.24656649022494564,0.24130135586184465
BQ92,-4.8211021,39.08933994,Tanzania,Mwandusi,0.412971084,0.120902702,0.037336144,0.043927124,0.074792951,0.056103993,0.089804142,0.075201432,0.175310127,0.615137053,0.471212645,0.2428818557274217,0.23415656936829612,0.23416905418953524,0.2398161922463689,0.24174024532980154,0.24896358662961984,0.24656649022494564,0.24130135586184465
BQ92,-4.8211021,39.08933994,Tanzania,Ndumbani,0.3488512,0.123036971,0.039726673,0.046589816,0.076137156,0.064412539,0.096878099,0.07314337,0.160754669,0.558204659,0.471325833,0.2428818557274217,0.23415656936829612,0.23416905418953524,0.2398161922463689,0.24174024532980154,0.24896358662961984,0.24656649022494564,0.24130135586184465
