ID,x,y,impact.ssp126.2050,impact.ssp245.2050,impact.ssp370.2050,impact.ssp585.2050,impact.ssp126.2100,impact.ssp245.2100,impact.ssp370.2100,impact.ssp585.2100
A137,50.33934,12.178898,NA,NA,NA,NA,NA,NA,NA,NA
A138,50.58934,12.178898,NA,NA,NA,NA,NA,NA,NA,NA
A139,50.83934,12.178898,NA,NA,NA,NA,NA,NA,NA,NA
A140,51.08934,12.178898,NA,NA,NA,NA,NA,NA,NA,NA
A141,51.33934,12.178898,NA,NA,NA,NA,NA,NA,NA,NA
AA129,48.33934,5.678898,NA,NA,NA,NA,NA,NA,NA,NA
AA130,48.58934,5.678898,NA,NA,NA,NA,NA,NA,NA,NA
AA131,48.83934,5.678898,NA,NA,NA,NA,NA,NA,NA,NA
AA132,49.08934,5.678898,NA,NA,NA,NA,NA,NA,NA,NA
AB129,48.33934,5.428898,NA,NA,NA,NA,NA,NA,NA,NA
AB130,48.58934,5.428898,NA,NA,NA,NA,NA,NA,NA,NA
AB131,48.83934,5.428898,NA,NA,NA,NA,NA,NA,NA,NA
AC128,48.08934,5.178898,NA,NA,NA,NA,NA,NA,NA,NA
AC129,48.33934,5.178898,NA,NA,NA,NA,NA,NA,NA,NA
AC130,48.58934,5.178898,NA,NA,NA,NA,NA,NA,NA,NA
AC131,48.83934,5.178898,NA,NA,NA,NA,NA,NA,NA,NA
AD127,47.83934,4.928898,NA,NA,NA,NA,NA,NA,NA,NA
AD128,48.08934,4.928898,NA,NA,NA,NA,NA,NA,NA,NA
AD129,48.33934,4.928898,NA,NA,NA,NA,NA,NA,NA,NA
AD130,48.58934,4.928898,NA,NA,NA,NA,NA,NA,NA,NA
AE127,47.83934,4.678898,0.42517409616721846,0.5412158141606032,0.4501134903769841,0.43965297301707185,0.43240922078443533,0.34108171811129073,0.4526898223052421,0.4371431656800909
AE128,48.08934,4.678898,NA,NA,NA,NA,NA,NA,NA,NA
AE129,48.33934,4.678898,NA,NA,NA,NA,NA,NA,NA,NA
AF126,47.58934,4.428898,NA,NA,NA,NA,NA,NA,NA,NA
AF127,47.83934,4.428898,NA,NA,NA,NA,NA,NA,NA,NA
AF128,48.08934,4.428898,NA,NA,NA,NA,NA,NA,NA,NA
AF129,48.33934,4.428898,NA,NA,NA,NA,NA,NA,NA,NA
AG125,47.33934,4.178898,0.4608037487266335,0.49447638067259214,0.48884136668454437,0.4782791372397065,0.45993487729480653,0.3364168975610169,0.46908100841127176,0.4592892320161636
