src,nbr,src_x,src_y,nbr_x,nbr_y,EucDist
BF100,A137,4116421.103968294,-256059.28990770542,4974748.232589402,1501504.76988145,1955954.2131628478
BF101,A137,4141466.6578159924,-256059.28990770527,4974748.232589402,1501504.76988145,1945093.7270783102
BG99,A137,4090953.2652706616,-286961.7381616283,4974748.232589402,1501504.76988145,1994920.0471822766
BK95,A137,3988664.5459936955,-410548.3365296979,4974748.232589402,1501504.76988145,2151350.301254238
BK96,A137,4013694.231175273,-410548.33652969793,4974748.232589402,1501504.76988145,2139993.4288148247
BO94,A137,3960785.341904585,-534086.9912775034,4974748.232589402,1501504.76988145,2274149.1951462026
BP93,A137,3934949.91904119,-564962.4706218361,4974748.232589402,1501504.76988145,2313323.883275097
BQ92,A137,3909078.9103666004,-595833.8245278371,4974748.232589402,1501504.76988145,2352547.6156553198
BR92,A137,3908168.297188433,-626700.8270671035,4974748.232589402,1501504.76988145,2380515.032820227
BR94,A137,3958158.5030009835,-626700.8270671034,4974748.232589402,1501504.76988145,2358540.5956200548
BR95,A137,3983153.6059072586,-626700.8270671035,4974748.232589402,1501504.76988145,2347875.4154656613
DC127,A137,4702040.822193813,-1763649.9654936127,4974748.232589402,1501504.76988145,3276523.2759171515
DC128,A137,4726612.862842023,-1763649.9654936127,4974748.232589402,1501504.76988145,3274569.6828227467
DH123,A137,4587211.427598146,-1916182.9581291282,4974748.232589402,1501504.76988145,3439589.246031703
DH124,A137,4611695.181178133,-1916182.9581291277,4974748.232589402,1501504.76988145,3436916.77588113
DH125,A137,4636178.93475812,-1916182.958129128,4974748.232589402,1501504.76988145,3434416.7737227343
DI123,A137,4583735.819523033,-1946648.0331493157,4974748.232589402,1501504.76988145,3470251.930367723
ET70,A137,3166536.246336458,-3061784.023094869,4974748.232589402,1501504.76988145,4908486.039027929
EW66,A137,3060416.50042287,-3150977.3855284094,4974748.232589402,1501504.76988145,5030929.952522385
EX67,A137,3079833.897776967,-3180661.2325394778,4974748.232589402,1501504.76988145,5051076.995107482
BF100,A138,4116421.103968294,-256059.28990770542,4999454.298653654,1501504.76988145,1966921.2102112202
BF101,A138,4141466.6578159924,-256059.28990770527,4999454.298653654,1501504.76988145,1955805.2602681876
BG99,A138,4090953.2652706616,-286961.7381616283,4999454.298653654,1501504.76988145,2005987.6814302146
BK95,A138,3988664.5459936955,-410548.3365296979,4999454.298653654,1501504.76988145,2162785.936198703
BK96,A138,4013694.231175273,-410548.33652969793,4999454.298653654,1501504.76988145,2151201.987813209
BO94,A138,3960785.341904585,-534086.9912775034,4999454.298653654,1501504.76988145,2285271.7606036286
BP93,A138,3934949.91904119,-564962.4706218361,4999454.298653654,1501504.76988145,2324533.594140421
BQ92,A138,3909078.9103666004,-595833.8245278371,4999454.298653654,1501504.76988145,2363841.7178357914
BR92,A138,3908168.297188433,-626700.8270671035,4999454.298653654,1501504.76988145,2391686.4760827455
BR94,A138,3958158.5030009835,-626700.8270671034,4999454.298653654,1501504.76988145,2369294.4090861897
BR95,A138,3983153.6059072586,-626700.8270671035,4999454.298653654,1501504.76988145,2358416.027964522
DC127,A138,4702040.822193813,-1763649.9654936127,4999454.298653654,1501504.76988145,3278672.02109667
DC128,A138,4726612.862842023,-1763649.9654936127,4999454.298653654,1501504.76988145,3276534.433671947
DH123,A138,4587211.427598146,-1916182.9581291282,4999454.298653654,1501504.76988145,3442460.3978739097
